City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
283,kanniyakumari,8.0833,77.5667,30.5,60,5,8.92,IN,1678692377
284,kungurtug,50.5994,97.5228,-5.3,67,48,7.29,RU,1678692377
285,mackay,-21.15,149.2,27.6,75,8,3.02,AU,1678692378
286,kulhudhuffushi,6.6221,73.07,27.86,79,10,6.47,MV,1678692378
287,morehead,37.2711,-87.1764,4.92,83,100,2.57,US,1678692378
288,kaeo,-35.1,173.7833,20.18,82,100,3.45,NZ,1678692378
289,aksu,41.1231,80.2644,15.45,18,0,1.17,CN,1678692378
290,bonavista,48.6499,-53.1147,-2.63,92,20,6.61,CA,1678692378
291,yahotyn,50.2798,31.7625,1.71,55,12,3.93,UA,1678692379
292,manado,1.487,124.8455,32.43,62,40,2.57,ID,1678692379
293,ribeira grande,38.5167,-28.7,15.43,88,20,6.17,PT,1678692379
294,boguchany,58.3814,97.4531,-5.51,79,100,6.24,RU,1678692380
295,ballina,-28.8667,153.5667,24.32,97,85,6.32,AU,1678692380
296,anadyr,64.75,177.4833,-12.72,72,75,7.0,RU,1678692338
297,corat,40.5725,49.7064,14.05,62,92,4.6,AZ,1678692380
298,kermanshah,34.3142,47.065,12.27,26,75,4.12,IR,1678691817
299,tura,25.5198,90.2201,34.48,13,0,2.67,IN,1678692380
300,bambanglipuro,-7.95,110.2833,29.53,60,14,4.15,ID,1678692380
301,atyrau,47.1167,51.8833,13.01,62,40,12.0,KZ,1678692228
302,samana,19.2056,-69.3369,20.93,90,4,1.61,DO,1678692380
303,erzin,36.9559,36.2,15.72,69,100,2.65,TR,1678692381
304,rantauprapat,2.1,99.8333,27.94,84,88,0.6,ID,1678692381
305,ahipara,-35.1667,173.1667,18.85,88,100,3.7,NZ,1678692381
306,qaqortoq,60.7167,-46.0333,-11.85,76,11,3.64,GL,1678692381
307,ramanuj ganj,23.8,83.7,33.99,12,100,3.44,IN,1678692381
308,verin,41.9415,-7.4381,13.65,93,100,1.95,ES,1678692381
309,san policarpo,12.1791,125.5072,27.11,69,13,6.07,PH,1678692381
310,juruti,-2.1522,-56.0922,22.59,95,100,0.65,BR,1678692382
311,oytal,42.9057,73.2697,11.1,74,70,3.35,KZ,1678692382
312,dunedin,-45.8742,170.5036,12.46,61,50,7.44,NZ,1678692382
313,egvekinot,66.3167,-179.1667,-23.49,99,100,1.68,RU,1678692382
314,mahajanga,-15.7167,46.3167,30.01,66,20,5.14,MG,1678692382
315,livingstone,-17.8419,25.8543,24.66,59,36,5.74,ZM,1678692151
316,sovetskiy,61.3614,63.5842,1.28,100,100,6.08,RU,1678692382
317,manaus,-3.1019,-60.025,23.28,94,40,1.03,BR,1678692343
318,buzdyak,54.5833,54.55,3.36,94,100,10.68,RU,1678692382
319,okha,53.5739,142.9478,0.4,94,100,9.04,RU,1678692383
320,aklavik,68.2191,-135.0107,-20.03,92,100,8.29,CA,1678692383
321,carrollton,32.9537,-96.8903,10.26,62,0,5.14,US,1678692302
322,guerrero negro,27.9769,-114.0611,15.23,87,69,6.41,MX,1678692383
323,moorhead,46.8739,-96.7676,-11.02,82,100,6.69,US,1678692383
324,plouzane,48.3833,-4.6167,12.1,87,100,12.35,FR,1678692383
325,xuddur,4.1213,43.8894,30.42,47,81,9.39,SO,1678692383
326,lagoa,39.05,-27.9833,14.76,80,81,8.31,PT,1678692383
327,zhengjiatun,43.5064,123.5064,1.37,14,100,2.62,CN,1678692383
328,andenes,69.3143,16.1194,-2.26,74,0,6.69,NO,1678692383
329,shenjiamen,29.9576,122.298,8.54,54,0,3.99,CN,1678692383
330,khani,41.9563,42.9566,7.76,81,100,1.58,GE,1678692384
331,sibolga,1.7427,98.7792,28.22,77,57,1.7,ID,1678692384
332,ust-ishim,57.6935,71.1665,-0.73,75,26,5.27,RU,1678692384
333,nanortalik,60.1432,-45.2371,-5.44,88,19,1.66,GL,1678692384
334,mugur-aksy,50.35,90.5,-4.91,48,2,3.68,RU,1678692384
335,duncan,34.5023,-97.9578,4.94,64,0,4.12,US,1678692384
336,umm kaddadah,13.6017,26.6876,25.64,11,14,8.01,SD,1678692384
337,natal,-5.795,-35.2094,24.36,88,20,2.06,BR,1678692384
338,bemidji,47.4736,-94.8803,-10.13,92,0,1.54,US,1678692384
339,coihaique,-45.5752,-72.0662,9.97,76,40,1.54,CL,1678692384
340,praya,14.9215,-23.5087,23.3,43,20,4.63,CV,1678692108
341,talnakh,69.4865,88.3972,-22.11,93,98,1.8,RU,1678692384
342,kodiak,57.79,-152.4072,-0.27,51,0,4.12,US,1678692385
343,kiama,-34.6833,150.8667,24.65,69,39,1.34,AU,1678692385
344,yeniseysk,58.4497,92.1703,-4.16,84,97,5.75,RU,1678692385
345,suntar,62.1444,117.6319,-6.81,90,100,4.05,RU,1678692385
346,salym,60.0625,71.4789,-0.7,85,100,6.13,RU,1678692385
347,gisborne,-38.6533,178.0042,19.94,71,44,4.89,NZ,1678692385
348,lingyuan,41.24,119.4011,9.72,15,100,5.33,CN,1678692385
349,araouane,18.9048,-3.5265,27.59,13,100,2.69,ML,1678692385
350,tucumcari,35.1717,-103.725,4.41,93,40,2.57,US,1678692385
351,northam,51.0333,-4.2167,11.33,91,100,15.48,GB,1678692385
352,dali,25.7,100.1833,21.53,23,81,1.46,CN,1678692385
353,shahrud,36.4182,54.9763,16.68,25,78,4.38,IR,1678692386
354,sfantu gheorghe,45.8667,25.7833,2.18,49,94,0.33,RO,1678692386
355,avera,33.194,-82.5271,7.73,91,100,3.12,US,1678692386
356,esperance,-33.8667,121.9,23.09,61,100,6.45,AU,1678692386
357,mayakonda,14.2833,76.0833,32.61,19,22,4.94,IN,1678692386
358,puerto escondido,15.85,-97.0667,24.0,86,0,3.33,MX,1678692387
359,tiksi,71.6872,128.8694,-15.69,82,32,5.48,RU,1678692387
360,gusevskiy,55.662,40.5627,-4.78,83,27,4.34,RU,1678692387
361,yatou,37.15,122.3833,7.58,54,35,11.45,CN,1678692387
362,muroto,33.2833,134.15,13.57,47,100,3.52,JP,1678692387
363,wokha,26.1,94.2667,25.67,18,0,2.72,IN,1678692387
364,paris,48.8534,2.3488,13.43,90,100,7.2,FR,1678691845
